PO_ID,PODate,SupplierID,ProductID,CostPerUnit,QuantityOrdered,TotalAmountSpent
PO0038,2025-05-04,SUP035,PROD365,214.08,451,96550.08
PO0039,2025-05-13,SUP006,PROD254,2943.7,114,335581.8
PO0040,2025-05-05,SUP022,PROD245,59.35,410,24333.5
PO0041,2025-05-20,SUP024,PROD389,2561.17,142,363686.14
PO0042,2025-05-08,SUP015,PROD092,400.67,154,61703.18
PO0043,2025-05-10,SUP040,PROD244,3566.61,142,506458.62
PO0044,2025-05-16,SUP010,PROD288,331.74,735,243828.9
PO0045,2025-05-26,SUP033,PROD271,4691.15,102,478497.3
PO0046,2025-05-13,SUP035,PROD007,2270.03,117,265593.51
PO0047,2025-05-23,SUP017,PROD093,52223.0,128,6684544.0
PO0048,2025-05-11,SUP035,PROD056,4028.71,100,402871.0
PO0049,2025-05-02,SUP034,PROD324,3476.78,123,427643.94
PO0050,2025-05-17,SUP038,PROD206,361.06,350,126371.0
PO0051,2025-05-09,SUP040,PROD064,2348.18,116,272388.88
PO0052,2025-05-08,SUP021,PROD304,3192.56,83,264982.48
PO0053,2025-05-12,SUP024,PROD150,292.51,83,24278.33
PO0054,2025-05-11,SUP038,PROD400,2931.05,85,249139.25
PO0055,2025-05-11,SUP037,PROD356,642.6,712,457531.2
PO0056,2025-05-10,SUP001,PROD255,3999.29,124,495911.96
PO0057,2025-05-17,SUP013,PROD277,3865.22,85,328543.7
PO0058,2025-05-20,SUP036,PROD370,364.91,581,212012.71
PO0059,2025-05-18,SUP004,PROD035,634.62,112,71077.44
PO0060,2025-05-11,SUP016,PROD088,100.71,467,47031.57
PO0061,2025-05-12,SUP006,PROD187,4253.68,114,484919.52
PO0062,2025-05-31,SUP008,PROD248,4446.55,106,471334.3
PO0063,2025-05-07,SUP005,PROD004,1640.62,113,185390.06
PO0064,2025-05-31,SUP039,PROD118,56.96,584,33264.64
PO0065,2025-05-10,SUP016,PROD214,2396.04,145,347425.8
PO0066,2025-05-30,SUP025,PROD112,3940.68,160,630508.8
PO0067,2025-05-04,SUP001,PROD150,292.51,152,44461.52
PO0068,2025-05-11,SUP014,PROD248,4446.55,135,600284.25
PO0069,2025-05-15,SUP024,PROD077,408.14,671,273861.94
PO0070,2025-05-04,SUP032,PROD278,2036.01,125,254501.25
PO0071,2025-05-19,SUP026,PROD157,4401.08,92,404899.36
PO0072,2025-05-26,SUP004,PROD188,585.74,522,305756.28
PO0073,2025-05-15,SUP034,PROD178,5471.8,113,618313.4
PO0074,2025-05-01,SUP017,PROD216,2000.15,118,236017.7
PO0075,2025-05-22,SUP030,PROD252,1124.89,92,103489.88
PO0076,2025-05-28,SUP014,PROD099,4150.13,104,431613.52
PO0077,2025-05-21,SUP017,PROD236,231.77,592,137207.84
PO0078,2025-05-06,SUP014,PROD384,314.79,87,27386.73
PO0079,2025-05-25,SUP026,PROD368,2659.74,94,250015.56
PO0080,2025-05-19,SUP039,PROD131,4646.75,140,650545.0
PO0081,2025-05-27,SUP017,PROD141,4170.52,100,417052.0
PO0082,2025-05-27,SUP012,PROD078,513.99,109,56024.91
PO0083,2025-05-14,SUP038,PROD291,508.11,639,324682.29
PO0084,2025-05-30,SUP006,PROD202,1527.41,86,131357.26
PO0085,2025-05-18,SUP003,PROD202,1527.41,160,244385.6
PO0086,2025-05-30,SUP020,PROD399,5320.01,155,824601.55
PO0087,2025-05-22,SUP003,PROD309,457.42,841,384690.22
PO0088,2025-05-29,SUP009,PROD102,3967.1,112,444315.2
PO0089,2025-05-11,SUP006,PROD212,86.5,596,51554.0
PO0090,2025-05-30,SUP011,PROD313,621.1,773,480110.3
PO0091,2025-05-10,SUP023,PROD036,4866.17,128,622869.76
PO0092,2025-05-18,SUP012,PROD386,1016.16,148,150391.68
PO0093,2025-05-09,SUP017,PROD058,3481.45,146,508291.7
PO0094,2025-05-11,SUP006,PROD061,474.78,743,352761.54
PO0095,2025-05-16,SUP001,PROD056,4028.71,150,604306.5
PO0096,2025-05-24,SUP023,PROD072,1987.13,138,274223.94
PO0097,2025-05-18,SUP023,PROD218,4519.22,90,406729.8
PO0098,2025-05-23,SUP021,PROD189,2092.87,101,211379.87
PO0099,2025-05-10,SUP016,PROD066,644.7,561,361676.7
PO0100,2025-05-17,SUP018,PROD400,2931.05,98,287242.9
PO0101,2025-05-21,SUP027,PROD290,1295.05,129,167061.45
PO0102,2025-05-12,SUP020,PROD098,1672.31,146,244157.26
PO0103,2025-05-05,SUP040,PROD097,3155.73,109,343974.57
PO0104,2025-05-03,SUP035,PROD372,5101.84,88,448961.92
PO0105,2025-05-09,SUP031,PROD052,149.64,709,106094.76
PO0106,2025-05-14,SUP025,PROD240,5255.37,94,494004.78
PO0107,2025-05-04,SUP026,PROD065,1173.41,109,127901.69
PO0108,2025-05-14,SUP016,PROD307,4173.53,131,546732.43
PO0109,2025-05-13,SUP003,PROD015,5126.8,99,507553.2
PO0110,2025-05-08,SUP019,PROD039,3425.36,98,335685.28
PO0111,2025-05-22,SUP034,PROD215,1980.88,130,257514.4
PO0112,2025-05-22,SUP038,PROD201,566.89,602,341267.78
PO0113,2025-05-13,SUP001,PROD069,3540.43,146,516902.78
PO0114,2025-05-15,SUP017,PROD285,1750.18,96,168017.28
PO0115,2025-05-11,SUP018,PROD209,587.24,433,254274.92
PO0116,2025-05-11,SUP037,PROD015,5126.8,100,512680.0
PO0117,2025-05-21,SUP003,PROD221,589.53,680,400880.4
PO0118,2025-05-06,SUP012,PROD146,3750.91,89,333830.99
PO0119,2025-05-01,SUP017,PROD047,649.41,492,319509.72
PO0120,2025-05-03,SUP020,PROD013,664.46,589,391366.94
PO0121,2025-05-16,SUP038,PROD159,3792.89,146,553761.94
PO0122,2025-05-28,SUP036,PROD107,436.23,764,333279.72
PO0123,2025-05-27,SUP016,PROD258,1900.52,95,180549.4
PO0124,2025-05-16,SUP011,PROD183,528.87,621,328428.27
PO0125,2025-05-20,SUP036,PROD347,4709.04,115,541539.6
PO0126,2025-05-27,SUP034,PROD250,4067.18,149,606009.82
PO0127,2025-05-22,SUP029,PROD116,672.32,156,104881.92
PO0128,2025-05-03,SUP012,PROD359,36600.61,103,3769862.83
PO0129,2025-05-20,SUP027,PROD104,2763.25,83,229349.75
PO0130,2025-05-15,SUP003,PROD096,2373.11,104,246803.44
PO0131,2025-05-11,SUP015,PROD334,2604.82,116,302159.12
PO0132,2025-05-17,SUP021,PROD182,3855.81,126,485832.06
PO0133,2025-05-13,SUP022,PROD179,4413.75,112,494340.0
PO0134,2025-05-05,SUP005,PROD108,5019.65,140,702751.0
PO0135,2025-05-08,SUP013,PROD239,3245.98,88,285646.24
PO0136,2025-05-05,SUP021,PROD175,3627.54,112,406284.48
PO0137,2025-05-29,SUP039,PROD321,2595.36,150,389304.0
PO0138,2025-05-19,SUP034,PROD189,2092.87,138,288816.06
PO0139,2025-05-26,SUP022,PROD283,2861.19,97,277535.43
PO0140,2025-05-15,SUP017,PROD382,786.71,128,100698.88
PO0141,2025-05-14,SUP008,PROD035,634.62,110,69808.2
PO0142,2025-05-27,SUP004,PROD196,231.95,786,182312.7
PO0143,2025-05-23,SUP013,PROD022,517.9,499,258432.1
PO0144,2025-05-15,SUP010,PROD148,2648.39,144,381368.16
PO0145,2025-05-04,SUP007,PROD181,4080.47,87,355000.89
PO0146,2025-05-30,SUP009,PROD125,4874.44,148,721417.12
PO0147,2025-05-15,SUP018,PROD288,331.74,629,208664.46
PO0148,2025-05-04,SUP017,PROD067,3466.42,130,450634.6
PO0149,2025-05-02,SUP012,PROD261,332.87,660,219694.2
PO0150,2025-05-30,SUP021,PROD178,5471.8,140,766052.0
PO0151,2025-05-31,SUP009,PROD132,35838.29,116,4157241.64
PO0152,2025-05-17,SUP025,PROD219,345.71,86,29731.06
PO0153,2025-05-25,SUP037,PROD050,43514.1,121,5265206.1
PO0154,2025-05-02,SUP006,PROD288,331.74,879,291599.46
PO0155,2025-05-10,SUP011,PROD012,352.25,154,54246.5
PO0156,2025-05-15,SUP021,PROD166,157.17,1005,157955.85
PO0157,2025-05-21,SUP037,PROD089,4102.43,126,516906.18
PO0158,2025-05-11,SUP001,PROD312,5016.67,110,551833.7
PO0159,2025-05-14,SUP037,PROD386,1016.16,95,96535.2
PO0160,2025-05-03,SUP030,PROD094,87.36,431,37652.16
PO0161,2025-05-12,SUP024,PROD290,1295.05,98,126914.9
PO0162,2025-05-20,SUP015,PROD321,2595.36,160,415257.6
PO0163,2025-05-08,SUP009,PROD310,3826.26,162,619854.12
PO0164,2025-05-08,SUP026,PROD118,56.96,438,24948.48
PO0165,2025-05-28,SUP038,PROD195,3016.4,146,440394.4
PO0166,2025-05-06,SUP033,PROD055,29058.0,104,3022032.0
PO0167,2025-05-27,SUP030,PROD085,5192.72,120,623126.4
PO0168,2025-05-15,SUP002,PROD025,679.23,584,396670.32
PO0169,2025-05-28,SUP034,PROD320,349.89,531,185791.59
PO0170,2025-05-10,SUP022,PROD228,401.54,404,162222.16
PO0171,2025-05-21,SUP006,PROD137,3011.24,124,373393.76
PO0172,2025-05-09,SUP023,PROD259,34521.5,145,5005617.5
PO0173,2025-05-25,SUP038,PROD314,5167.2,89,459880.8
PO0174,2025-05-13,SUP008,PROD327,660.04,102,67324.08
PO0175,2025-05-25,SUP036,PROD242,261.02,471,122940.42
PO0176,2025-05-16,SUP010,PROD235,36484.43,128,4670007.04
PO0177,2025-05-21,SUP016,PROD106,573.47,531,304512.57
PO0178,2025-05-26,SUP040,PROD053,261.61,464,121387.04
PO0179,2025-05-15,SUP006,PROD257,2580.68,94,242583.92
PO0180,2025-05-29,SUP032,PROD196,231.95,607,140793.65
PO0181,2025-05-11,SUP018,PROD339,543.26,558,303139.08
PO0182,2025-05-29,SUP011,PROD192,4887.55,106,518080.3
PO0183,2025-05-17,SUP036,PROD271,4691.15,83,389365.45
PO0184,2025-05-22,SUP032,PROD261,332.87,553,184077.11
PO0185,2025-05-20,SUP015,PROD234,3480.58,94,327174.52
PO0186,2025-05-18,SUP032,PROD041,268.61,85,22831.85
PO0187,2025-05-28,SUP006,PROD085,5192.72,83,430995.76
PO0188,2025-05-15,SUP019,PROD248,4446.55,100,444655.0
PO0189,2025-05-31,SUP015,PROD063,2640.93,92,242965.56
PO0190,2025-05-20,SUP027,PROD352,4814.74,100,481474.0
PO0191,2025-05-22,SUP012,PROD064,2348.18,89,208988.02
PO0192,2025-05-04,SUP010,PROD085,5192.72,89,462152.08
PO0193,2025-05-13,SUP036,PROD188,585.74,770,451019.8
PO0194,2025-05-24,SUP001,PROD362,62.5,647,40437.5
PO0195,2025-05-08,SUP023,PROD129,2263.83,138,312408.54
PO0196,2025-05-07,SUP039,PROD053,261.61,767,200654.87
PO0197,2025-05-21,SUP009,PROD019,374.48,714,267378.72
PO0198,2025-05-28,SUP025,PROD369,301.54,436,131471.44
PO0199,2025-05-04,SUP036,PROD245,59.35,671,39823.85
PO0200,2025-05-16,SUP010,PROD349,14650.88,127,1860661.76
PO0201,2025-05-04,SUP014,PROD029,63.6,431,27411.6
PO0202,2025-05-23,SUP037,PROD187,4253.68,86,365816.48
PO0203,2025-05-23,SUP027,PROD117,729.47,116,84618.52
PO0204,2025-05-26,SUP035,PROD109,3450.56,87,300198.72
PO0205,2025-05-05,SUP035,PROD061,474.78,492,233591.76
PO0206,2025-05-03,SUP040,PROD228,401.54,384,154191.36
PO0207,2025-05-01,SUP008,PROD398,470.59,428,201412.52
PO0208,2025-05-31,SUP013,PROD170,5434.52,117,635838.84
PO0209,2025-05-07,SUP033,PROD207,1042.53,98,102167.94
PO0210,2025-05-18,SUP001,PROD394,2551.89,88,224566.32
PO0211,2025-05-20,SUP018,PROD172,65.11,759,49418.49
PO0212,2025-05-21,SUP020,PROD151,4322.64,103,445231.92
PO0213,2025-05-06,SUP021,PROD218,4519.22,152,686921.44
PO0214,2025-05-22,SUP038,PROD058,3481.45,111,386440.95
PO0215,2025-05-31,SUP028,PROD300,64881.37,105,6812543.85
PO0216,2025-05-14,SUP024,PROD037,3756.28,119,446997.32
PO0217,2025-05-04,SUP032,PROD048,4383.72,87,381383.64
PO0218,2025-05-05,SUP017,PROD130,257.72,569,146642.68
PO0219,2025-05-10,SUP001,PROD322,270.9,556,150620.4
PO0220,2025-05-02,SUP025,PROD331,577.02,474,273507.48
PO0221,2025-05-30,SUP031,PROD199,58.34,533,31095.22
PO0222,2025-05-13,SUP017,PROD367,53321.55,89,4745617.95
PO0223,2025-05-13,SUP035,PROD008,3821.49,109,416542.41
PO0224,2025-05-28,SUP039,PROD380,284.6,483,137461.8
PO0225,2025-05-17,SUP026,PROD181,4080.47,109,444771.23
PO0226,2025-05-18,SUP023,PROD350,585.7,608,356105.6
PO0227,2025-05-04,SUP012,PROD147,29717.32,92,2733993.44
PO0228,2025-05-03,SUP030,PROD160,3650.17,103,375967.51
PO0229,2025-05-15,SUP040,PROD224,4200.05,102,428405.1
PO0230,2025-05-15,SUP014,PROD153,558.37,784,437762.08
PO0231,2025-05-20,SUP019,PROD391,5314.02,90,478261.8
PO0232,2025-05-09,SUP018,PROD337,3785.87,136,514878.32
PO0233,2025-05-27,SUP040,PROD081,666.24,670,446380.8
PO0234,2025-05-06,SUP015,PROD184,406.33,448,182035.84
PO0235,2025-05-11,SUP028,PROD101,4621.3,86,397431.8
PO0236,2025-05-13,SUP027,PROD103,3598.82,110,395870.2
PO0237,2025-05-18,SUP013,PROD116,672.32,84,56474.88
PO0238,2025-05-27,SUP029,PROD313,621.1,593,368312.3
PO0239,2025-05-06,SUP030,PROD372,5101.84,87,443860.08
PO0240,2025-05-14,SUP036,PROD230,5218.67,148,772363.16
PO0241,2025-05-18,SUP029,PROD373,40.49,409,16560.41
PO0242,2025-05-28,SUP013,PROD125,4874.44,88,428950.72
PO0243,2025-05-12,SUP032,PROD377,405.53,85,34470.05
PO0244,2025-05-31,SUP040,PROD047,649.41,452,293533.32
PO0245,2025-05-25,SUP025,PROD276,2785.46,150,417819.0
PO0246,2025-05-20,SUP030,PROD185,5334.09,85,453397.65
PO0247,2025-05-19,SUP021,PROD065,1173.41,148,173664.68
PO0248,2025-05-01,SUP015,PROD140,4830.01,87,420210.87
PO0249,2025-05-19,SUP027,PROD202,1527.41,98,149686.18
PO0250,2025-05-03,SUP037,PROD005,4963.57,89,441757.73
PO0251,2025-05-03,SUP020,PROD145,59490.79,112,6662968.48
PO0252,2025-05-04,SUP025,PROD043,54.14,417,22576.38
PO0253,2025-05-20,SUP029,PROD356,642.6,488,313588.8
PO0254,2025-05-24,SUP016,PROD154,530.81,704,373690.24
PO0255,2025-05-09,SUP020,PROD265,4469.22,127,567590.94
PO0256,2025-05-20,SUP037,PROD257,2580.68,114,294197.52
PO0257,2025-05-20,SUP025,PROD363,176.54,542,95684.68
PO0258,2025-05-03,SUP027,PROD243,482.76,113,54551.88
PO0259,2025-05-30,SUP026,PROD163,4898.42,164,803340.88
PO0260,2025-05-21,SUP023,PROD016,2550.03,86,219302.58
PO0261,2025-05-10,SUP040,PROD059,1353.46,115,155647.9
PO0262,2025-05-06,SUP006,PROD130,257.72,703,181177.16
PO0263,2025-05-27,SUP005,PROD358,1050.16,120,126019.2
PO0264,2025-05-24,SUP008,PROD366,811.84,143,116093.12
PO0265,2025-05-15,SUP024,PROD220,1439.35,154,221659.9
PO0266,2025-05-01,SUP011,PROD343,1834.26,116,212774.16
PO0267,2025-05-05,SUP019,PROD028,1062.68,102,108393.36
PO0268,2025-05-10,SUP037,PROD027,5422.87,96,520595.52
PO0269,2025-05-06,SUP011,PROD012,352.25,120,42270.0
PO0270,2025-05-03,SUP007,PROD143,281.14,463,130167.82
PO0271,2025-05-16,SUP034,PROD384,314.79,104,32738.16
PO0272,2025-05-09,SUP006,PROD161,983.83,148,145606.84
PO0273,2025-05-23,SUP029,PROD219,345.71,87,30076.77
PO0274,2025-05-27,SUP030,PROD291,508.11,601,305374.11
PO0275,2025-05-14,SUP010,PROD173,551.27,553,304852.31
PO0276,2025-05-21,SUP011,PROD308,823.44,159,130926.96
PO0277,2025-05-28,SUP016,PROD143,281.14,557,156594.98
PO0278,2025-05-09,SUP016,PROD183,528.87,592,313091.04
PO0279,2025-05-11,SUP036,PROD088,100.71,627,63145.17
PO0280,2025-05-14,SUP031,PROD154,530.81,565,299907.65
PO0281,2025-05-17,SUP019,PROD096,2373.11,96,227818.56
PO0282,2025-05-31,SUP021,PROD379,4303.88,84,361525.92
PO0283,2025-05-12,SUP021,PROD139,4721.77,86,406072.22
PO0284,2025-05-08,SUP022,PROD342,16599.01,88,1460712.88
PO0285,2025-05-27,SUP035,PROD124,4239.95,162,686871.9
PO0286,2025-05-08,SUP009,PROD097,3155.73,124,391310.52
PO0287,2025-05-10,SUP016,PROD285,1750.18,126,220522.68
PO0288,2025-05-06,SUP017,PROD156,2708.74,105,284417.7
PO0289,2025-05-08,SUP029,PROD015,5126.8,91,466538.8
PO0290,2025-05-02,SUP030,PROD199,58.34,755,44046.7
PO0291,2025-05-03,SUP011,PROD252,1124.89,84,94490.76
PO0292,2025-05-18,SUP027,PROD395,3575.01,123,439726.23
PO0293,2025-05-03,SUP006,PROD364,332.59,92,30598.28
PO0294,2025-05-12,SUP011,PROD345,496.14,126,62513.64
PO0295,2025-05-06,SUP009,PROD282,4256.39,89,378818.71
PO0296,2025-05-19,SUP028,PROD047,649.41,560,363669.6
PO0297,2025-05-09,SUP039,PROD224,4200.05,92,386404.6
PO0298,2025-05-31,SUP022,PROD249,5362.05,93,498670.65
PO0299,2025-05-19,SUP023,PROD360,2669.35,104,277612.4
PO0300,2025-05-16,SUP027,PROD199,58.34,443,25844.62
PO0301,2025-05-19,SUP008,PROD387,4359.0,91,396669.0
PO0302,2025-05-06,SUP027,PROD366,811.84,132,107162.88
PO0303,2025-05-18,SUP026,PROD052,149.64,811,121358.04
PO0304,2025-05-31,SUP001,PROD236,231.77,658,152504.66
PO0305,2025-05-21,SUP006,PROD326,4249.76,91,386728.16
PO0306,2025-05-12,SUP003,PROD182,3855.81,100,385581.0
PO0307,2025-05-17,SUP033,PROD268,923.76,99,91452.24
PO0308,2025-05-16,SUP021,PROD383,387.87,107,41502.09
PO0309,2025-05-06,SUP026,PROD396,638.32,156,99577.92
PO0310,2025-05-27,SUP027,PROD187,4253.68,162,689096.16
PO0311,2025-05-24,SUP035,PROD146,3750.91,87,326329.17
PO0312,2025-05-01,SUP009,PROD262,3975.09,98,389558.82
PO0313,2025-05-22,SUP037,PROD230,5218.67,128,667989.76
PO0314,2025-05-28,SUP027,PROD266,699.73,520,363859.6
PO0315,2025-05-25,SUP004,PROD111,491.88,600,295128.0
PO0316,2025-05-07,SUP013,PROD240,5255.37,154,809326.98
PO0317,2025-05-05,SUP020,PROD072,1987.13,160,317940.8
PO0318,2025-05-07,SUP013,PROD350,585.7,565,330920.5
PO0319,2025-05-05,SUP003,PROD289,293.92,462,135791.04
PO0320,2025-05-02,SUP003,PROD227,4538.68,148,671724.64
PO0321,2025-05-29,SUP018,PROD250,4067.18,88,357911.84
PO0322,2025-05-16,SUP028,PROD117,729.47,91,66381.77
PO0323,2025-05-04,SUP028,PROD374,407.85,670,273259.5
PO0324,2025-05-15,SUP023,PROD120,303.59,552,167581.68
PO0325,2025-05-31,SUP016,PROD395,3575.01,120,429001.2
PO0326,2025-05-02,SUP040,PROD041,268.61,89,23906.29
PO0327,2025-05-27,SUP036,PROD062,4484.46,91,408085.86
PO0328,2025-05-04,SUP007,PROD212,86.5,553,47834.5
PO0329,2025-05-20,SUP008,PROD158,3782.35,89,336629.15
PO0330,2025-05-17,SUP031,PROD282,4256.39,137,583125.43
PO0331,2025-05-13,SUP023,PROD119,1202.82,117,140729.94
PO0332,2025-05-08,SUP038,PROD206,361.06,414,149478.84
PO0333,2025-05-08,SUP024,PROD307,4173.53,113,471608.89
PO0334,2025-05-23,SUP027,PROD278,2036.01,96,195456.96
PO0335,2025-05-25,SUP015,PROD297,4563.72,139,634357.08
PO0336,2025-05-18,SUP010,PROD332,499.26,463,231157.38
PO0337,2025-05-24,SUP028,PROD373,40.49,512,20730.88
PO0338,2025-05-25,SUP003,PROD064,2348.18,124,291174.32
PO0339,2025-05-09,SUP020,PROD092,400.67,84,33656.28
PO0340,2025-05-16,SUP020,PROD277,3865.22,144,556591.68
PO0341,2025-05-04,SUP010,PROD079,4246.46,156,662447.76
PO0342,2025-05-25,SUP009,PROD161,983.83,86,84609.38
PO0343,2025-05-22,SUP037,PROD306,4458.6,139,619745.4
PO0344,2025-05-28,SUP003,PROD018,6286.76,120,754411.2
PO0345,2025-05-02,SUP034,PROD331,577.02,660,380833.2
PO0346,2025-05-22,SUP017,PROD200,3974.87,124,492883.88
PO0347,2025-05-11,SUP032,PROD231,295.62,849,250981.38
PO0348,2025-05-24,SUP011,PROD171,270.02,821,221686.42
PO0349,2025-05-22,SUP017,PROD238,192.1,502,96434.2
PO0350,2025-05-28,SUP007,PROD136,912.79,108,98581.32
PO0351,2025-05-05,SUP040,PROD398,470.59,408,192000.72
PO0352,2025-05-13,SUP026,PROD212,86.5,765,66172.5
PO0353,2025-05-18,SUP004,PROD133,5147.47,146,751530.62
PO0354,2025-05-01,SUP030,PROD204,159.92,627,100269.84
PO0355,2025-05-30,SUP036,PROD115,902.86,95,85771.7
PO0356,2025-05-18,SUP021,PROD154,530.81,772,409785.32
PO0357,2025-05-01,SUP027,PROD361,13431.82,113,1517795.66
PO0358,2025-05-29,SUP001,PROD027,5422.87,83,450098.21
PO0359,2025-05-01,SUP023,PROD262,3975.09,124,492911.16
PO0360,2025-05-17,SUP004,PROD326,4249.76,107,454724.32
PO0361,2025-05-09,SUP017,PROD267,907.97,158,143459.26
PO0362,2025-05-08,SUP033,PROD041,268.61,150,40291.5
PO0363,2025-05-21,SUP010,PROD030,600.4,461,276784.4
PO0364,2025-05-24,SUP023,PROD153,558.37,569,317712.53
PO0365,2025-05-22,SUP015,PROD363,176.54,741,130816.14
PO0366,2025-05-05,SUP027,PROD027,5422.87,154,835121.98
PO0367,2025-05-07,SUP005,PROD355,1869.22,150,280383.0
PO0368,2025-05-17,SUP008,PROD379,4303.88,92,395956.96
PO0369,2025-05-13,SUP003,PROD179,4413.75,108,476685.0
PO0370,2025-05-14,SUP029,PROD124,4239.95,87,368875.65
PO0371,2025-05-09,SUP013,PROD122,240.73,741,178380.93
PO0372,2025-05-04,SUP017,PROD303,3950.73,103,406925.19
PO0373,2025-05-03,SUP003,PROD115,902.86,103,92994.58
PO0374,2025-05-04,SUP022,PROD086,432.28,498,215275.44
PO0375,2025-05-11,SUP021,PROD394,2551.89,93,237325.77
PO0376,2025-05-18,SUP008,PROD017,23167.01,160,3706721.6
PO0377,2025-05-14,SUP029,PROD271,4691.15,120,562938.0
PO0378,2025-05-28,SUP032,PROD160,3650.17,128,467221.76
PO0379,2025-05-13,SUP004,PROD003,850.0,94,79900.0
PO0380,2025-05-22,SUP022,PROD331,577.02,550,317361.0
PO0381,2025-05-09,SUP017,PROD035,634.62,94,59654.28
PO0382,2025-05-08,SUP020,PROD215,1980.88,107,211954.16
PO0383,2025-05-16,SUP001,PROD128,2431.32,112,272307.84
PO0384,2025-05-25,SUP017,PROD232,397.98,102,40593.96
PO0385,2025-05-14,SUP032,PROD347,4709.04,99,466194.96
PO0386,2025-05-18,SUP022,PROD274,60.46,563,34038.98
PO0387,2025-05-31,SUP023,PROD274,60.46,520,31439.2
PO0388,2025-05-08,SUP012,PROD024,4841.05,132,639018.6
PO0389,2025-05-25,SUP006,PROD267,907.97,87,78993.39
PO0390,2025-05-16,SUP014,PROD019,374.48,422,158030.56
PO0391,2025-05-25,SUP026,PROD287,3243.98,144,467133.12
PO0392,2025-05-02,SUP029,PROD399,5320.01,88,468160.88
PO0393,2025-05-27,SUP007,PROD173,551.27,922,508270.94
PO0394,2025-05-26,SUP004,PROD303,3950.73,88,347664.24
PO0395,2025-05-11,SUP018,PROD131,4646.75,89,413560.75
PO0396,2025-05-24,SUP039,PROD080,531.85,606,322301.1
PO0397,2025-05-20,SUP017,PROD068,4154.19,96,398802.24
PO0398,2025-05-26,SUP031,PROD360,2669.35,114,304305.9
PO0399,2025-05-05,SUP003,PROD098,1672.31,97,162214.07
PO0400,2025-05-13,SUP004,PROD121,3891.79,119,463123.01
PO0401,2025-05-03,SUP024,PROD057,3910.34,88,344109.92
PO0402,2025-05-06,SUP014,PROD393,426.79,650,277413.5
PO0403,2025-05-19,SUP040,PROD156,2708.74,138,373806.12
PO0404,2025-05-12,SUP007,PROD273,12619.88,84,1060069.92
PO0405,2025-05-06,SUP034,PROD096,2373.11,164,389190.04
PO0406,2025-05-28,SUP004,PROD315,433.86,493,213892.98
PO0407,2025-05-19,SUP004,PROD203,4165.48,104,433209.92
PO0408,2025-05-17,SUP008,PROD157,4401.08,149,655760.92
PO0409,2025-05-15,SUP007,PROD249,5362.05,85,455774.25
PO0410,2025-05-16,SUP020,PROD346,2393.36,128,306350.08
PO0411,2025-05-24,SUP005,PROD381,809.39,140,113314.6
PO0412,2025-05-09,SUP012,PROD124,4239.95,89,377355.55
PO0413,2025-05-22,SUP023,PROD016,2550.03,102,260103.06
