InvoiceID,InvoiceDate,CustomerID,TotalInvoiceValue,SalesID_JSON,Status
INV00053,2025-05-03,CUST0571,210010.16,"SALE000365,SALE000366,SALE000367,SALE000368,SALE000369,SALE000370,SALE000371",Pending
INV00054,2025-05-03,CUST0713,211352.75,"SALE000372,SALE000373,SALE000374,SALE000375,SALE000376,SALE000377,SALE000378",Paid
INV00055,2025-05-03,CUST0289,198930.94,"SALE000379,SALE000380,SALE000381,SALE000382,SALE000383,SALE000384,SALE000385",Paid
INV00056,2025-05-04,CUST0861,163084.72,"SALE000386,SALE000387,SALE000388,SALE000389,SALE000390,SALE000391,SALE000392",Paid
INV00057,2025-05-03,CUST0693,90350.89,"SALE000393,SALE000394,SALE000395,SALE000396,SALE000397,SALE000398,SALE000399",Paid
INV00058,2025-05-04,CUST0966,172033.26,"SALE000400,SALE000401,SALE000402,SALE000403,SALE000404,SALE000405,SALE000406",Paid
INV00059,2025-05-04,CUST0918,198542.62,"SALE000407,SALE000408,SALE000409,SALE000410,SALE000411,SALE000412,SALE000413",Paid
INV00060,2025-05-04,CUST0351,179323.52,"SALE000414,SALE000415,SALE000416,SALE000417,SALE000418,SALE000419,SALE000420",Paid
INV00061,2025-05-01,CUST0307,210212.38,"SALE000421,SALE000422,SALE000423,SALE000424,SALE000425,SALE000426,SALE000427",Paid
INV00062,2025-05-03,CUST0687,244896.59999999998,"SALE000428,SALE000429,SALE000430,SALE000431,SALE000432,SALE000433,SALE000434",Paid
INV00063,2025-05-11,CUST0749,253473.77,"SALE000435,SALE000436,SALE000437,SALE000438,SALE000439,SALE000440,SALE000441",Paid
INV00064,2025-05-04,CUST0294,118168.11,"SALE000442,SALE000443,SALE000444,SALE000445,SALE000446,SALE000447,SALE000448",Pending
INV00065,2025-05-04,CUST0774,259988.55000000002,"SALE000449,SALE000450,SALE000451,SALE000452,SALE000453,SALE000454,SALE000455",Paid
INV00066,2025-05-03,CUST0789,221634.44999999998,"SALE000456,SALE000457,SALE000458,SALE000459,SALE000460,SALE000461,SALE000462",Paid
INV00067,2025-05-03,CUST0284,166386.7,"SALE000463,SALE000464,SALE000465,SALE000466,SALE000467,SALE000468,SALE000469",Paid
INV00068,2025-05-03,CUST0401,108165.16,"SALE000470,SALE000471,SALE000472,SALE000473,SALE000474,SALE000475,SALE000476",Pending
INV00069,2025-05-03,CUST0449,158545.07,"SALE000477,SALE000478,SALE000479,SALE000480,SALE000481,SALE000482,SALE000483",Paid
INV00070,2025-05-03,CUST0100,224148.59,"SALE000484,SALE000485,SALE000486,SALE000487,SALE000488,SALE000489,SALE000490",Paid
INV00071,2025-05-04,CUST0083,158111.38,"SALE000491,SALE000492,SALE000493,SALE000494,SALE000495,SALE000496,SALE000497",Paid
INV00072,2025-05-03,CUST0992,203745.21,"SALE000498,SALE000499,SALE000500,SALE000501,SALE000502,SALE000503,SALE000504",Paid
INV00073,2025-05-03,CUST0397,242383.71000000002,"SALE000505,SALE000506,SALE000507,SALE000508,SALE000509,SALE000510,SALE000511",Paid
INV00074,2025-05-03,CUST0588,207981.94,"SALE000512,SALE000513,SALE000514,SALE000515,SALE000516,SALE000517,SALE000518",Paid
INV00075,2025-05-05,CUST0034,202686.6,"SALE000519,SALE000520,SALE000521,SALE000522,SALE000523,SALE000524,SALE000525",Paid
INV00076,2025-05-07,CUST0284,178347.32,"SALE000526,SALE000527,SALE000528,SALE000529,SALE000530,SALE000531,SALE000532",Paid
INV00077,2025-05-03,CUST0661,144014.91,"SALE000533,SALE000534,SALE000535,SALE000536,SALE000537,SALE000538,SALE000539",Paid
INV00078,2025-05-03,CUST0267,206285.95,"SALE000540,SALE000541,SALE000542,SALE000543,SALE000544,SALE000545,SALE000546",Paid
INV00079,2025-05-11,CUST0335,126729.38,"SALE000547,SALE000548,SALE000549,SALE000550,SALE000551,SALE000552,SALE000553",Paid
INV00080,2025-05-03,CUST0425,187477.76,"SALE000554,SALE000555,SALE000556,SALE000557,SALE000558,SALE000559,SALE000560",Paid
INV00081,2025-05-10,CUST0929,219679.99,"SALE000561,SALE000562,SALE000563,SALE000564,SALE000565,SALE000566,SALE000567",Pending
INV00082,2025-05-04,CUST0557,159274.06,"SALE000568,SALE000569,SALE000570,SALE000571,SALE000572,SALE000573,SALE000574",Paid
INV00083,2025-05-03,CUST0912,53013.29,"SALE000575,SALE000576,SALE000577,SALE000578,SALE000579,SALE000580,SALE000581",Paid
INV00084,2025-05-01,CUST0030,138190.37,"SALE000582,SALE000583,SALE000584,SALE000585,SALE000586,SALE000587,SALE000588",Paid
INV00085,2025-05-04,CUST0127,229294.78,"SALE000589,SALE000590,SALE000591,SALE000592,SALE000593,SALE000594,SALE000595",Paid
INV00086,2025-05-04,CUST0865,152633.48,"SALE000596,SALE000597,SALE000598,SALE000599,SALE000600,SALE000601,SALE000602",Paid
INV00087,2025-05-03,CUST0517,234774.92,"SALE000603,SALE000604,SALE000605,SALE000606,SALE000607,SALE000608,SALE000609",Paid
INV00088,2025-05-01,CUST0785,291231.18,"SALE000610,SALE000611,SALE000612,SALE000613,SALE000614,SALE000615,SALE000616",Paid
INV00089,2025-05-03,CUST0211,228444.17,"SALE000617,SALE000618,SALE000619,SALE000620,SALE000621,SALE000622,SALE000623",Pending
INV00090,2025-05-06,CUST0465,239450.82,"SALE000624,SALE000625,SALE000626,SALE000627,SALE000628,SALE000629,SALE000630",Paid
INV00091,2025-05-03,CUST0817,166142.72,"SALE000631,SALE000632,SALE000633,SALE000634,SALE000635,SALE000636,SALE000637",Paid
INV00092,2025-05-03,CUST0093,237499.34,"SALE000638,SALE000639,SALE000640,SALE000641,SALE000642,SALE000643,SALE000644",Paid
INV00093,2025-05-04,CUST0394,112628.9,"SALE000645,SALE000646,SALE000647,SALE000648,SALE000649,SALE000650,SALE000651",Paid
INV00094,2025-05-10,CUST0712,115334.58,"SALE000652,SALE000653,SALE000654,SALE000655,SALE000656,SALE000657,SALE000658",Pending
INV00095,2025-05-06,CUST0269,194331.7,"SALE000659,SALE000660,SALE000661,SALE000662,SALE000663,SALE000664,SALE000665",Paid
INV00096,2025-05-03,CUST0663,154238.3,"SALE000666,SALE000667,SALE000668,SALE000669,SALE000670,SALE000671,SALE000672",Paid
INV00097,2025-05-03,CUST0444,94181.11000000002,"SALE000673,SALE000674,SALE000675,SALE000676,SALE000677,SALE000678,SALE000679",Paid
INV00098,2025-05-11,CUST0116,122901.91,"SALE000680,SALE000681,SALE000682,SALE000683,SALE000684,SALE000685,SALE000686",Paid
INV00099,2025-05-01,CUST0333,365804.35,"SALE000687,SALE000688,SALE000689,SALE000690,SALE000691,SALE000692,SALE000693",Paid
INV00100,2025-05-03,CUST0457,400685.88,"SALE000694,SALE000695,SALE000696,SALE000697,SALE000698,SALE000699,SALE000700",Paid
INV00101,2025-05-10,CUST0084,244376.07,"SALE000701,SALE000702,SALE000703,SALE000704,SALE000705,SALE000706,SALE000707",Paid
INV00102,2025-05-03,CUST0139,89047.8,"SALE000708,SALE000709,SALE000710,SALE000711,SALE000712,SALE000713,SALE000714",Paid
INV00103,2025-05-04,CUST0749,145593.88,"SALE000715,SALE000716,SALE000717,SALE000718,SALE000719,SALE000720,SALE000721",Pending
INV00104,2025-05-03,CUST0166,193677.4,"SALE000722,SALE000723,SALE000724,SALE000725,SALE000726,SALE000727,SALE000728",Paid
INV00105,2025-05-04,CUST0724,76925.21,"SALE000729,SALE000730,SALE000731,SALE000732,SALE000733,SALE000734,SALE000735",Paid
INV00106,2025-05-10,CUST0252,150997.36000000002,"SALE000736,SALE000737,SALE000738,SALE000739,SALE000740,SALE000741,SALE000742",Paid
INV00107,2025-05-01,CUST0151,123686.51,"SALE000743,SALE000744,SALE000745,SALE000746,SALE000747,SALE000748,SALE000749",Paid
INV00108,2025-05-03,CUST0667,280900.92,"SALE000750,SALE000751,SALE000752,SALE000753,SALE000754,SALE000755,SALE000756",Paid
INV00109,2025-05-03,CUST0434,192462.63,"SALE000757,SALE000758,SALE000759,SALE000760,SALE000761,SALE000762,SALE000763",Paid
INV00110,2025-05-04,CUST0839,269528.36,"SALE000764,SALE000765,SALE000766,SALE000767,SALE000768,SALE000769,SALE000770",Paid
INV00111,2025-05-02,CUST0555,151631.32,"SALE000771,SALE000772,SALE000773,SALE000774,SALE000775,SALE000776,SALE000777",Paid
INV00112,2025-05-03,CUST0695,161509.74,"SALE000778,SALE000779,SALE000780,SALE000781,SALE000782,SALE000783,SALE000784",Paid
INV00113,2025-05-06,CUST0383,280409.17,"SALE000785,SALE000786,SALE000787,SALE000788,SALE000789,SALE000790,SALE000791",Paid
INV00114,2025-05-01,CUST0268,153577.2,"SALE000792,SALE000793,SALE000794,SALE000795,SALE000796,SALE000797,SALE000798",Paid
INV00115,2025-05-04,CUST0761,162477.19,"SALE000799,SALE000800,SALE000801,SALE000802,SALE000803,SALE000804,SALE000805",Paid
INV00116,2025-05-03,CUST0024,240393.8,"SALE000806,SALE000807,SALE000808,SALE000809,SALE000810,SALE000811,SALE000812",Paid
INV00117,2025-05-03,CUST0958,92049.88,"SALE000813,SALE000814,SALE000815,SALE000816,SALE000817,SALE000818,SALE000819",Paid
INV00118,2025-05-03,CUST0807,225978.95,"SALE000820,SALE000821,SALE000822,SALE000823,SALE000824,SALE000825,SALE000826",Paid
INV00119,2025-05-03,CUST0299,161726.13,"SALE000827,SALE000828,SALE000829,SALE000830,SALE000831,SALE000832,SALE000833",Paid
INV00120,2025-05-03,CUST0846,222646.31,"SALE000834,SALE000835,SALE000836,SALE000837,SALE000838,SALE000839,SALE000840",Paid
INV00121,2025-05-03,CUST0148,204574.62,"SALE000841,SALE000842,SALE000843,SALE000844,SALE000845,SALE000846,SALE000847",Paid
INV00122,2025-05-10,CUST0411,157118.2,"SALE000848,SALE000849,SALE000850,SALE000851,SALE000852,SALE000853,SALE000854",Paid
INV00123,2025-05-03,CUST0081,241185.65000000002,"SALE000855,SALE000856,SALE000857,SALE000858,SALE000859,SALE000860,SALE000861",Paid
INV00124,2025-05-03,CUST0473,209820.43,"SALE000862,SALE000863,SALE000864,SALE000865,SALE000866,SALE000867,SALE000868",Paid
INV00125,2025-05-04,CUST0066,135222.97,"SALE000869,SALE000870,SALE000871,SALE000872,SALE000873,SALE000874,SALE000875",Pending
INV00126,2025-05-10,CUST0163,235565.72,"SALE000876,SALE000877,SALE000878,SALE000879,SALE000880,SALE000881,SALE000882",Paid
INV00127,2025-05-03,CUST0644,161163.25,"SALE000883,SALE000884,SALE000885,SALE000886,SALE000887,SALE000888,SALE000889",Paid
INV00128,2025-05-03,CUST0731,166918.03,"SALE000890,SALE000891,SALE000892,SALE000893,SALE000894,SALE000895,SALE000896",Paid
INV00129,2025-05-03,CUST0205,104598.32,"SALE000897,SALE000898,SALE000899,SALE000900,SALE000901,SALE000902,SALE000903",Paid
INV00130,2025-05-03,CUST0421,269303.52,"SALE000904,SALE000905,SALE000906,SALE000907,SALE000908,SALE000909,SALE000910",Paid
INV00131,2025-05-02,CUST0207,197788.32,"SALE000911,SALE000912,SALE000913,SALE000914,SALE000915,SALE000916,SALE000917",Paid
INV00132,2025-05-03,CUST0650,301602.67000000004,"SALE000918,SALE000919,SALE000920,SALE000921,SALE000922,SALE000923,SALE000924",Paid
INV00133,2025-05-03,CUST0567,377156.33999999997,"SALE000925,SALE000926,SALE000927,SALE000928,SALE000929,SALE000930,SALE000931",Paid
INV00134,2025-05-04,CUST0714,200839.97999999998,"SALE000932,SALE000933,SALE000934,SALE000935,SALE000936,SALE000937,SALE000938",Paid
INV00135,2025-05-03,CUST0422,188303.78999999998,"SALE000939,SALE000940,SALE000941,SALE000942,SALE000943,SALE000944,SALE000945",Paid
INV00136,2025-05-03,CUST0088,180480.49,"SALE000946,SALE000947,SALE000948,SALE000949,SALE000950,SALE000951,SALE000952",Paid
INV00137,2025-05-13,CUST0948,191055.13,"SALE000953,SALE000954,SALE000955,SALE000956,SALE000957,SALE000958,SALE000959",Paid
INV00138,2025-05-03,CUST0804,166566.41999999998,"SALE000960,SALE000961,SALE000962,SALE000963,SALE000964,SALE000965,SALE000966",Paid
INV00139,2025-05-03,CUST0387,153358.4,"SALE000967,SALE000968,SALE000969,SALE000970,SALE000971,SALE000972,SALE000973",Paid
INV00140,2025-05-03,CUST0467,190139.97999999998,"SALE000974,SALE000975,SALE000976,SALE000977,SALE000978,SALE000979,SALE000980",Pending
INV00141,2025-05-10,CUST0200,146864.39,"SALE000981,SALE000982,SALE000983,SALE000984,SALE000985,SALE000986,SALE000987",Paid
INV00142,2025-05-03,CUST0611,248621.39,"SALE000988,SALE000989,SALE000990,SALE000991,SALE000992,SALE000993,SALE000994",Pending
INV00143,2025-05-18,CUST0532,152197.87,"SALE000995,SALE000996,SALE000997,SALE000998,SALE000999,SALE001000,SALE001001",Paid
INV00144,2025-05-04,CUST0621,195970.83,"SALE001002,SALE001003,SALE001004,SALE001005,SALE001006,SALE001007,SALE001008",Paid
INV00145,2025-05-01,CUST0445,206590.32,"SALE001009,SALE001010,SALE001011,SALE001012,SALE001013,SALE001014,SALE001015",Pending
INV00146,2025-05-04,CUST0760,181414.09,"SALE001016,SALE001017,SALE001018,SALE001019,SALE001020,SALE001021,SALE001022",Paid
INV00147,2025-05-03,CUST0059,258413.17,"SALE001023,SALE001024,SALE001025,SALE001026,SALE001027,SALE001028,SALE001029",Paid
INV00148,2025-05-04,CUST0879,172674.67,"SALE001030,SALE001031,SALE001032,SALE001033,SALE001034,SALE001035,SALE001036",Paid
INV00149,2025-05-05,CUST0405,238025.16,"SALE001037,SALE001038,SALE001039,SALE001040,SALE001041,SALE001042,SALE001043",Paid
INV00150,2025-05-01,CUST0399,242713.78,"SALE001044,SALE001045,SALE001046,SALE001047,SALE001048,SALE001049,SALE001050",Paid
INV00151,2025-05-03,CUST0153,151196.96999999997,"SALE001051,SALE001052,SALE001053,SALE001054,SALE001055,SALE001056,SALE001057",Paid
INV00152,2025-05-03,CUST0686,103911.15999999999,"SALE001058,SALE001059,SALE001060,SALE001061,SALE001062,SALE001063,SALE001064",Paid
INV00153,2025-05-02,CUST0460,193968.1,"SALE001065,SALE001066,SALE001067,SALE001068,SALE001069,SALE001070,SALE001071",Pending
INV00154,2025-05-03,CUST0226,166956.75,"SALE001072,SALE001073,SALE001074,SALE001075,SALE001076,SALE001077,SALE001078",Paid
INV00155,2025-05-03,CUST0797,199404.67,"SALE001079,SALE001080,SALE001081,SALE001082,SALE001083,SALE001084,SALE001085",Paid
INV00156,2025-05-04,CUST0252,97928.04000000001,"SALE001086,SALE001087,SALE001088,SALE001089,SALE001090,SALE001091,SALE001092",Paid
INV00157,2025-05-01,CUST0022,76390.43000000001,"SALE001093,SALE001094,SALE001095,SALE001096,SALE001097,SALE001098,SALE001099",Paid
INV00158,2025-05-06,CUST0357,135331.15000000002,"SALE001100,SALE001101,SALE001102,SALE001103,SALE001104,SALE001105,SALE001106",Paid
INV00159,2025-05-07,CUST0563,178328.22,"SALE001107,SALE001108,SALE001109,SALE001110,SALE001111,SALE001112,SALE001113",Paid
INV00160,2025-05-03,CUST0489,141695.22,"SALE001114,SALE001115,SALE001116,SALE001117,SALE001118,SALE001119,SALE001120",Paid
INV00161,2025-05-03,CUST0954,134916.08,"SALE001121,SALE001122,SALE001123,SALE001124,SALE001125,SALE001126,SALE001127",Paid
INV00162,2025-05-03,CUST0654,206438.36,"SALE001128,SALE001129,SALE001130,SALE001131,SALE001132,SALE001133,SALE001134",Paid
INV00163,2025-05-04,CUST0788,137882.6,"SALE001135,SALE001136,SALE001137,SALE001138,SALE001139,SALE001140,SALE001141",Paid
INV00164,2025-05-04,CUST0453,171875.52,"SALE001142,SALE001143,SALE001144,SALE001145,SALE001146,SALE001147,SALE001148",Paid
INV00165,2025-05-04,CUST0750,214751.53,"SALE001149,SALE001150,SALE001151,SALE001152,SALE001153,SALE001154,SALE001155",Paid
INV00166,2025-05-03,CUST0538,253031.72999999998,"SALE001156,SALE001157,SALE001158,SALE001159,SALE001160,SALE001161,SALE001162",Paid
INV00167,2025-05-05,CUST0325,145778.14,"SALE001163,SALE001164,SALE001165,SALE001166,SALE001167,SALE001168,SALE001169",Paid
INV00168,2025-05-03,CUST0344,116384.45,"SALE001170,SALE001171,SALE001172,SALE001173,SALE001174,SALE001175,SALE001176",Paid
INV00169,2025-05-10,CUST0661,246329.88999999998,"SALE001177,SALE001178,SALE001179,SALE001180,SALE001181,SALE001182,SALE001183",Paid
INV00170,2025-05-03,CUST0591,183577.99,"SALE001184,SALE001185,SALE001186,SALE001187,SALE001188,SALE001189,SALE001190",Paid
INV00171,2025-05-03,CUST0950,193509.32,"SALE001191,SALE001192,SALE001193,SALE001194,SALE001195,SALE001196,SALE001197",Paid
INV00172,2025-05-10,CUST0780,281568.54000000004,"SALE001198,SALE001199,SALE001200,SALE001201,SALE001202,SALE001203,SALE001204",Paid
INV00173,2025-05-03,CUST0362,207889.94,"SALE001205,SALE001206,SALE001207,SALE001208,SALE001209,SALE001210,SALE001211",Paid
INV00174,2025-05-01,CUST0623,263049.14,"SALE001212,SALE001213,SALE001214,SALE001215,SALE001216,SALE001217,SALE001218",Paid
INV00175,2025-05-04,CUST0325,95013.22,"SALE001219,SALE001220,SALE001221,SALE001222,SALE001223,SALE001224,SALE001225",Pending
INV00176,2025-05-10,CUST0948,185660.53,"SALE001226,SALE001227,SALE001228,SALE001229,SALE001230,SALE001231,SALE001232",Pending
INV00177,2025-05-04,CUST0779,142316.33000000002,"SALE001233,SALE001234,SALE001235,SALE001236,SALE001237,SALE001238,SALE001239",Paid
INV00178,2025-05-04,CUST0280,227279.67,"SALE001240,SALE001241,SALE001242,SALE001243,SALE001244,SALE001245,SALE001246",Paid
INV00179,2025-05-03,CUST0930,213880.07,"SALE001247,SALE001248,SALE001249,SALE001250,SALE001251,SALE001252,SALE001253",Pending
INV00180,2025-05-04,CUST0499,236674.09,"SALE001254,SALE001255,SALE001256,SALE001257,SALE001258,SALE001259,SALE001260",Paid
INV00181,2025-05-03,CUST0043,154284.12,"SALE001261,SALE001262,SALE001263,SALE001264,SALE001265,SALE001266,SALE001267",Paid
INV00182,2025-05-04,CUST0291,204899.73,"SALE001268,SALE001269,SALE001270,SALE001271,SALE001272,SALE001273,SALE001274",Paid
INV00183,2025-05-01,CUST0385,282654.84,"SALE001275,SALE001276,SALE001277,SALE001278,SALE001279,SALE001280,SALE001281",Paid
INV00184,2025-05-01,CUST0842,304226.49,"SALE001282,SALE001283,SALE001284,SALE001285,SALE001286,SALE001287,SALE001288",Paid
INV00185,2025-05-10,CUST0560,146813.12,"SALE001289,SALE001290,SALE001291,SALE001292,SALE001293,SALE001294,SALE001295",Pending
INV00186,2025-05-09,CUST0741,151586.72,"SALE001296,SALE001297,SALE001298,SALE001299,SALE001300,SALE001301,SALE001302",Paid
INV00187,2025-05-10,CUST0414,230359.58000000002,"SALE001303,SALE001304,SALE001305,SALE001306,SALE001307,SALE001308,SALE001309",Paid
INV00188,2025-05-04,CUST0207,184119.71999999997,"SALE001310,SALE001311,SALE001312,SALE001313,SALE001314,SALE001315,SALE001316",Paid
INV00189,2025-05-08,CUST0554,319496.15,"SALE001317,SALE001318,SALE001319,SALE001320,SALE001321,SALE001322,SALE001323",Paid
INV00190,2025-05-04,CUST0927,238824.17,"SALE001324,SALE001325,SALE001326,SALE001327,SALE001328,SALE001329,SALE001330",Paid
INV00191,2025-05-03,CUST0449,328787.89,"SALE001331,SALE001332,SALE001333,SALE001334,SALE001335,SALE001336,SALE001337",Paid
INV00192,2025-05-04,CUST0880,250596.38,"SALE001338,SALE001339,SALE001340,SALE001341,SALE001342,SALE001343,SALE001344",Paid
INV00193,2025-05-02,CUST0876,141520.1,"SALE001345,SALE001346,SALE001347,SALE001348,SALE001349,SALE001350,SALE001351",Pending
INV00194,2025-05-03,CUST0587,222721.06,"SALE001352,SALE001353,SALE001354,SALE001355,SALE001356,SALE001357,SALE001358",Paid
INV00195,2025-05-04,CUST0565,181203.35,"SALE001359,SALE001360,SALE001361,SALE001362,SALE001363,SALE001364,SALE001365",Pending
INV00196,2025-05-03,CUST0334,67810.09,"SALE001366,SALE001367,SALE001368,SALE001369,SALE001370,SALE001371,SALE001372",Paid
INV00197,2025-05-03,CUST0579,273354.44,"SALE001373,SALE001374,SALE001375,SALE001376,SALE001377,SALE001378,SALE001379",Pending
